id,label
0,2
1,0
2,6
3,2
4,3
5,4
6,2
7,6
8,4
9,2
10,3
11,5
12,4
13,0
14,6
15,3
16,2
17,0
18,5
19,5
20,2
21,6
22,0
23,3
24,6
25,4
26,2
27,4
28,5
29,6
30,3
31,6
32,3
33,6
34,0
35,3
36,0
37,2
38,4
39,3
40,0
41,2
42,6
43,3
44,6
45,6
46,5
47,3
48,5
49,6
50,6
51,3
52,5
53,3
54,3
55,3
56,2
57,6
58,5
59,6
60,6
61,2
62,6
63,3
64,5
65,3
66,1
67,6
68,5
69,0
70,4
71,5
72,4
73,4
74,2
75,3
76,5
77,6
78,4
79,0
80,0
81,5
82,0
83,6
84,5
85,6
86,0
87,6
88,4
89,3
90,6
91,3
92,0
93,6
94,0
95,0
96,3
97,2
98,3
99,0
100,3
101,6
102,4
103,3
104,3
105,3
106,6
107,6
108,6
109,1
110,3
111,3
112,1
113,4
114,3
115,2
116,4
117,0
118,2
119,3
120,5
121,0
122,2
123,2
124,4
125,4
126,2
127,2
128,5
129,5
130,5
131,6
132,2
133,4
134,4
135,5
136,6
137,3
138,6
139,6
140,6
141,3
142,1
143,0
144,4
145,0
146,3
147,5
148,6
149,2
150,3
151,6
152,5
153,3
154,0
155,5
156,2
157,5
158,6
159,3
160,0
161,3
162,3
163,4
164,2
165,6
166,6
167,2
168,5
169,3
170,4
171,3
172,5
173,2
174,4
175,0
176,1
177,6
178,6
179,5
180,0
181,3
182,2
183,3
184,3
185,4
186,3
187,3
188,4
189,3
190,3
191,3
192,5
193,5
194,3
195,6
196,5
197,6
198,4
199,0
200,3
201,6
202,0
203,3
204,0
205,4
206,4
207,4
208,6
209,0
210,0
211,3
212,0
213,6
214,6
215,2
216,5
217,3
218,4
219,3
220,2
221,3
222,5
223,3
224,0
225,3
226,5
227,0
228,3
229,3
230,3
231,2
232,5
233,4
234,4
235,4
236,3
237,6
238,0
239,5
240,3
241,4
242,4
243,0
244,1
245,3
246,3
247,6
248,0
249,1
250,4
251,3
252,4
253,2
254,4
255,2
256,5
257,4
258,2
259,6
260,6
261,5
262,5
263,2
264,2
265,3
266,2
267,3
268,3
269,4
270,0
271,6
272,5
273,3
274,2
275,4
276,3
277,2
278,6
279,2
280,3
281,0
282,6
283,2
284,4
285,2
286,3
287,0
288,0
289,3
290,3
291,0
292,6
293,0
294,3
295,4
296,2
297,6
298,3
299,4
300,2
301,4
302,2
303,3
304,3
305,3
306,5
307,0
308,4
309,3
310,3
311,4
312,6
313,6
314,6
315,3
316,6
317,2
318,3
319,3
320,5
321,4
322,3
323,6
324,6
325,3
326,2
327,3
328,4
329,0
330,4
331,4
332,4
333,3
334,4
335,3
336,2
337,0
338,3
339,6
340,3
341,5
342,6
343,3
344,6
345,4
346,0
347,5
348,2
349,5
350,3
351,2
352,2
353,3
354,4
355,4
356,3
357,6
358,3
359,4
360,6
361,2
362,6
363,0
364,5
365,3
366,3
367,4
368,4
369,2
370,3
371,6
372,0
373,6
374,4
375,2
376,2
377,2
378,3
379,4
380,4
381,2
382,3
383,0
384,0
385,2
386,3
387,6
388,5
389,2
390,6
391,2
392,3
393,3
394,1
395,5
396,2
397,1
398,4
399,0
400,4
401,5
402,3
403,6
404,2
405,6
406,5
407,2
408,2
409,4
410,3
411,5
412,3
413,3
414,4
415,2
416,6
417,2
418,5
419,4
420,6
421,3
422,2
423,4
424,2
425,5
426,0
427,3
428,3
429,6
430,4
431,0
432,2
433,4
434,4
435,0
436,3
437,2
438,4
439,6
440,4
441,0
442,6
443,2
444,5
445,4
446,4
447,3
448,5
449,1
450,4
451,3
452,6
453,6
454,4
455,5
456,2
457,0
458,4
459,6
460,5
461,5
462,5
463,3
464,6
465,4
466,3
467,4
468,3
469,2
470,2
471,5
472,2
473,6
474,6
475,3
476,2
477,6
478,6
479,4
480,3
481,6
482,5
483,0
484,5
485,4
486,6
487,5
488,3
489,6
490,4
491,2
492,3
493,3
494,4
495,3
496,3
497,6
498,2
499,6
500,4
501,4
502,4
503,5
504,0
505,6
506,2
507,2
508,5
509,4
510,3
511,3
512,0
513,0
514,3
515,3
516,5
517,4
518,0
519,4
520,0
521,6
522,4
523,6
524,3
525,3
526,3
527,0
528,6
529,3
530,6
531,0
532,5
533,5
534,3
535,3
536,4
537,6
538,5
539,2
540,6
541,3
542,5
543,6
544,6
545,2
546,4
547,4
548,3
549,6
550,6
551,4
552,4
553,3
554,0
555,4
556,2
557,6
558,6
559,3
560,1
561,5
562,5
563,2
564,2
565,5
566,6
567,5
568,2
569,2
570,2
571,3
572,3
573,6
574,5
575,5
576,2
577,3
578,6
579,4
580,5
581,6
582,2
583,3
584,5
585,3
586,2
587,5
588,6
589,4
590,4
591,3
592,2
593,6
594,0
595,3
596,2
597,0
598,6
599,6
600,2
601,6
602,4
603,0
604,4
605,2
606,5
607,4
608,5
609,0
610,4
611,5
612,4
613,3
614,2
615,4
616,2
617,4
618,0
619,2
620,3
621,4
622,2
623,3
624,3
625,3
626,0
627,2
628,2
629,3
630,6
631,6
632,4
633,0
634,2
635,2
636,3
637,4
638,2
639,2
640,5
641,4
642,3
643,6
644,3
645,0
646,2
647,5
648,5
649,3
650,6
651,6
652,3
653,0
654,4
655,2
656,3
657,2
658,5
659,5
660,3
661,3
662,4
663,3
664,3
665,6
666,6
667,2
668,4
669,2
670,4
671,0
672,3
673,2
674,6
675,4
676,0
677,2
678,2
679,0
680,2
681,6
682,4
683,6
684,6
685,6
686,0
687,3
688,0
689,3
690,5
691,2
692,6
693,2
694,2
695,6
696,1
697,6
698,0
699,4
700,0
701,3
702,0
703,0
704,2
705,4
706,3
707,0
708,3
709,3
710,3
711,2
712,2
713,3
714,4
715,5
716,6
717,4
718,0
719,6
720,6
721,3
722,3
723,0
724,4
725,0
726,6
727,6
728,0
729,3
730,0
731,2
732,6
733,6
734,2
735,2
736,6
737,4
738,0
739,0
740,0
741,0
742,3
743,4
744,6
745,2
746,0
747,6
748,3
749,4
750,4
751,3
752,4
753,2
754,6
755,4
756,0
757,4
758,3
759,3
760,4
761,0
762,6
763,6
764,2
765,0
766,3
767,6
768,2
769,2
770,5
771,5
772,2
773,6
774,1
775,6
776,3
777,6
778,2
779,0
780,2
781,6
782,2
783,6
784,4
785,5
786,4
787,0
788,3
789,6
790,0
791,3
792,0
793,1
794,3
795,3
796,2
797,4
798,6
799,5
800,5
801,2
802,0
803,3
804,5
805,4
806,4
807,6
808,2
809,4
810,3
811,2
812,0
813,3
814,0
815,2
816,6
817,5
818,4
819,2
820,4
821,5
822,3
823,0
824,5
825,6
826,5
827,4
828,5
829,4
830,2
831,5
832,5
833,5
834,0
835,3
836,3
837,5
838,1
839,4
840,4
841,4
842,6
843,3
844,4
845,6
846,4
847,4
848,2
849,5
850,3
851,0
852,3
853,3
854,5
855,0
856,4
857,3
858,4
859,5
860,2
861,0
862,0
863,6
864,4
865,4
866,6
867,4
868,6
869,5
870,3
871,0
872,0
873,5
874,4
875,6
876,5
877,3
878,3
879,4
880,3
881,6
882,4
883,6
884,5
885,4
886,2
887,6
888,5
889,5
890,6
891,5
892,6
893,2
894,3
895,6
896,0
897,3
898,4
899,6
900,6
901,0
902,3
903,6
904,5
905,3
906,2
907,5
908,6
909,5
910,5
911,2
912,6
913,0
914,5
915,6
916,6
917,4
918,3
919,0
920,3
921,1
922,4
923,3
924,2
925,6
926,2
927,4
928,0
929,6
930,0
931,0
932,5
933,6
934,6
935,6
936,3
937,6
938,3
939,3
940,3
941,3
942,0
943,6
944,4
945,4
946,0
947,4
948,3
949,3
950,5
951,4
952,4
953,2
954,4
955,4
956,4
957,6
958,4
959,5
960,5
961,4
962,2
963,4
964,5
965,2
966,3
967,2
968,3
969,3
970,3
971,4
972,6
973,0
974,4
975,4
976,4
977,6
978,3
979,2
980,4
981,5
982,0
983,4
984,4
985,4
986,3
987,2
988,3
989,5
990,5
991,6
992,6
993,4
994,6
995,4
996,2
997,2
998,4
999,4
1000,0
1001,4
1002,2
1003,3
1004,2
1005,6
1006,0
1007,4
1008,5
1009,2
1010,0
1011,2
1012,5
1013,3
1014,6
1015,3
1016,6
1017,0
1018,3
1019,5
1020,6
1021,0
1022,0
1023,1
1024,3
1025,6
1026,2
1027,3
1028,6
1029,6
1030,3
1031,3
1032,3
1033,4
1034,4
1035,0
1036,3
1037,3
1038,5
1039,3
1040,2
1041,4
1042,3
1043,6
1044,2
1045,3
1046,0
1047,2
1048,6
1049,6
1050,6
1051,4
1052,6
1053,2
1054,5
1055,6
1056,4
1057,6
1058,4
1059,5
1060,3
1061,3
1062,5
1063,6
1064,3
1065,4
1066,3
1067,6
1068,2
1069,3
1070,5
1071,6
1072,0
1073,3
1074,3
1075,6
1076,6
1077,2
1078,2
1079,0
1080,5
1081,3
1082,5
1083,5
1084,6
1085,3
1086,0
1087,5
1088,5
1089,3
1090,0
1091,0
1092,2
1093,3
1094,2
1095,4
1096,4
1097,3
1098,0
1099,3
1100,6
1101,0
1102,3
1103,2
1104,2
1105,2
1106,0
1107,6
1108,0
1109,1
1110,4
1111,3
1112,3
1113,3
1114,2
1115,4
1116,3
1117,0
1118,6
1119,3
1120,5
1121,4
1122,3
1123,3
1124,5
1125,3
1126,6
1127,2
1128,3
1129,6
1130,6
1131,6
1132,4
1133,3
1134,0
1135,0
1136,5
1137,6
1138,3
1139,6
1140,5
1141,0
1142,0
1143,4
1144,6
1145,6
1146,6
1147,3
1148,2
1149,4
1150,6
1151,4
1152,6
1153,0
1154,5
1155,5
1156,3
1157,4
1158,3
