TestDataID,Rating
1,4.26113
2,4.06013
3,4.03737
4,2.91486
5,3.43236
6,3.6728
7,4.2884
8,3.43009
9,3.24913
10,2.97524
11,4.17079
12,3.4867
13,3.41909
14,3.60243
15,3.46906
16,3.69909
17,3.8151
18,3.96215
19,3.95107
20,3.68807
21,4.05929
22,4.31284
23,3.89675
24,3.48675
25,4.06622
26,3.15493
27,3.66545
28,3.52152
29,2.75292
30,3.2656
31,3.14207
32,3.57741
33,3.3765
34,3.13854
35,3.85238
36,3.81006
37,3.86838
38,3.12953
39,3.5352
40,2.51402
41,3.80528
42,3.85956
43,3.07511
44,3.98305
45,3.72713
46,3.77849
47,3.47871
48,4.00963
49,3.76867
50,3.74163
51,3.85412
52,3.31957
53,4.22156
54,4.59843
55,3.92305
56,3.45988
57,4.0055
58,2.99585
59,3.85394
60,3.59168
61,3.38164
62,4.10834
63,3.92527
64,3.97754
65,4.12561
66,3.91599
67,3.99515
68,4.10562
69,3.43727
70,4.20462
71,3.46257
72,4.25852
73,3.25823
74,4.16144
75,3.14711
76,3.28768
77,3.92827
78,3.95628
79,4.0632
80,4.06785
81,4.0113
82,4.0999
83,4.04223
84,4.00475
85,4.29353
86,3.63641
87,4.19253
88,4.0804
89,4.01203
90,3.89188
91,4.0308
92,4.00178
93,3.97735
94,4.10616
95,3.85937
96,4.30526
97,4.02417
98,4.28555
99,3.91946
100,4.09953
101,3.82563
102,4.03194
103,4.26211
104,4.05248
105,4.20366
106,4.18865
107,3.87383
108,4.01501
109,3.72869
110,4.03767
111,4.12876
112,4.19019
113,4.27218
114,3.60129
115,3.94583
116,2.63114
117,4.00042
118,3.03359
119,3.74058
120,2.65503
121,2.1105
122,3.47149
123,4.07089
124,2.74091
125,3.25494
126,4.60825
127,4.10904
128,4.41206
129,3.54456
130,3.23604
131,3.60812
132,3.72699
133,4.26795
134,4.41214
135,1.91929
136,3.5
137,4.18858
138,3.80737
139,4.08628
140,3.38475
141,3.15951
142,3.65199
143,3.60316
144,3.37023
145,3.50049
146,3.34196
147,3.57659
148,3.84955
149,3.46385
150,3.09827
151,3.55255
152,3.5202
153,3.50108
154,2.86477
155,3.36586
156,3.31174
157,3.8913
158,3.93206
159,3.14487
160,3.77351
161,3.52471
162,3.45232
163,3.21871
164,3.03892
165,3.22997
166,3.45386
167,3.78655
168,3.99433
169,3.07359
170,4.47867
171,3.80714
172,4.17165
173,3.34802
174,4.04432
175,3.99997
176,4.21596
177,4.39075
178,4.42778
179,4.55662
