TestDataID,Rating
1,4.5746
2,4.29595
3,4.2635
4,2.6234
5,3.33595
6,3.38401
7,4.38083
8,3.27721
9,3.06816
10,2.60101
11,4.10402
12,4.02394
13,3.66914
14,3.25874
15,3.25206
16,3.63034
17,3.5023
18,3.69975
19,4.31205
20,3.50213
21,3.79943
22,4.14237
23,3.92105
24,2.98045
25,3.66062
26,3.09157
27,3.58568
28,3.50237
29,2.2692
30,3.38182
31,2.81013
32,2.78506
33,3.33574
34,2.62441
35,4.06168
36,3.71011
37,3.73322
38,2.91903
39,3.50091
40,2.34167
41,3.45246
42,3.94111
43,2.19174
44,3.96493
45,3.58552
46,3.84131
47,3.39315
48,4.04343
49,3.7689
50,3.67142
51,4.12841
52,3.71707
53,4.23106
54,4.94848
55,4.19364
56,3.47634
57,4.13254
58,2.86868
59,3.93663
60,3.97715
61,3.27969
62,4.057
63,4.22543
64,4.1782
65,4.62564
66,3.7135
67,4.33094
68,4.1707
69,3.26044
70,4.11642
71,3.31297
72,4.32073
73,3.34868
74,4.18868
75,2.98075
76,3.07846
77,4.33947
78,4.20162
79,4.14215
80,4.4531
81,3.98212
82,4.44964
83,4.63162
84,4.46547
85,4.62635
86,3.92242
87,4.85749
88,4.05369
89,4.61014
90,4.05542
91,4.19711
92,3.9141
93,4.50564
94,4.43313
95,4.40538
96,4.13053
97,4.21352
98,4.39688
99,4.40946
100,4.51031
101,3.90833
102,4.15294
103,4.96059
104,4.16377
105,3.91015
106,4.0029
107,4.00532
108,4.49503
109,3.33233
110,4.22472
111,4.41221
112,4.46299
113,4.56255
114,3.60385
115,4.0981
116,2.15207
117,3.69971
118,2.93531
119,3.14786
120,2.07704
121,2.34775
122,3.11792
123,3.85226
124,2.41323
125,2.81422
126,4.44115
127,4.0345
128,4.12324
129,3.7011
130,2.55463
131,3.57806
132,3.73361
133,3.87683
134,4.0826
135,1.98005
136,3.89615
137,3.75402
138,3.80042
139,3.9738
140,3.23387
141,3.09629
142,3.5735
143,3.70837
144,3.5455
145,3.65194
146,3.08944
147,3.67563
148,4.08529
149,3.49645
150,2.87539
151,3.50682
152,3.41805
153,3.68897
154,2.15116
155,3.28119
156,2.81747
157,3.95923
158,4.12146
159,2.91269
160,3.93564
161,3.38528
162,3.31732
163,3.23417
164,2.6509
165,3.01726
166,3.55282
167,3.92691
168,4.00378
169,3.06011
170,4.7317
171,3.95563
172,4.48908
173,3.50934
174,4.2896
175,4.37254
176,4.55193
177,4.6292
178,4.73263
179,4.93294
180,2.42534
181,4.30326
182,4.37113
183,4.01544
184,3.78209
185,4.2147
186,4.17313
187,4.34134
188,3.49377
189,4.43483
190,4.37167
191,3.64099
192,4.19208
193,2.84964
194,4.66173
195,4.42663
196,3.25264
197,4.39494
198,4.22835
199,2.68209
200,4.15957
201,4.53909
202,4.53953
203,1.47639
204,3.85618
205,1.63073
206,3.4087
207,3.96959
208,4.63793
209,3.04963
210,4.39964
211,3.73667
212,3.74927
213,4.04598
214,1.91763
215,4.31452
216,2.76336
217,4.88041
218,3.81616
219,4.10911
220,2.42473
221,4.6563
222,4.23764
223,4.51757
224,4.19042
225,3.19862
226,4.09359
227,1.64239
228,2.66378
229,2.29918
230,4.76498
231,3.84433
232,3.24721
233,4.45857
234,4.01332
235,2.99481
236,4.50592
237,4.29769
238,3.57075
239,3.53252
240,3.85615
241,3.49497
242,3.21138
243,3.5988
244,4.54515
245,4.38064
246,3.98018
247,3.89162
248,2.97784
249,3.51694
250,3.43755
251,3.5329
252,4.71071
253,2.86028
254,3.69853
255,2.71911
256,3.71824
257,3.46876
258,3.05103
259,3.29275
260,3.02627
261,2.96585
262,3.08186
263,2.73979
264,3.52383
265,2.05065
266,3.34771
267,3.71245
268,3.14306
269,3.74261
270,4.07231
271,2.95363
272,3.68879
273,2.93176
274,2.74202
275,3.90876
276,2.52987
277,2.92698
278,3.78697
279,3.33185
280,3.75167
281,3.85374
282,4.05056
283,3.62223
284,3.46781
285,3.5175
286,3.10673
287,3.0026
288,3.38947
289,3.11565
290,3.29151
291,2.91058
292,3.56423
293,3.14588
294,3.31484
295,3.0092
296,3.6836
297,2.976
298,3.91758
299,3.75105
300,3.23259
301,3.84119
302,3.88496
303,3.497
304,3.4123
305,3.64897
306,3.93103
307,3.37141
308,3.49354
309,3.34342
310,3.96268
311,3.60976
312,3.92284
313,3.58343
314,3.21997
315,3.32072
316,4.08386
317,2.90433
318,4.39903
319,2.77242
320,4.514
321,4.03343
322,3.95319
323,3.52041
324,3.76805
325,4.49064
326,4.32481
