id,value
id_0,24.5950435366
id_1,62.1895277623
id_2,21.1581523731
id_3,28.0255832122
id_4,9.81493085932
id_5,29.8364139045
id_6,39.2213584295
id_7,15.1095133218
id_8,46.6503504569
id_9,31.1117766075
id_10,38.0379608548
id_11,59.731336847
id_12,32.5668804658
id_13,33.8990059941
id_14,26.8797230915
id_15,13.8140567814
id_16,50.3772278881
id_17,23.4193864036
id_18,13.1775610115
id_19,14.8420164749
id_20,15.7383790397
id_21,28.5153795727
id_22,39.2065980845
id_23,13.8359973002
id_24,60.7371659385
id_25,44.0668724215
id_26,25.6295491299
id_27,8.949293355
id_28,30.7086446154
id_29,34.0777308816
id_30,12.6696672031
id_31,10.4720268951
id_32,17.4414650669
id_33,7.11805574316
id_34,17.1416347005
id_35,39.3361844005
id_36,19.5069774984
id_37,25.8138730116
id_38,10.6659250917
id_39,63.4551720177
id_40,47.8181390832
id_41,21.3114329593
id_42,53.1616531871
id_43,19.6540355451
id_44,45.7436986205
id_45,49.3493937104
id_46,57.944316265
id_47,39.8714778484
id_48,51.3535175406
id_49,39.3376974872
id_50,29.500163096
id_51,21.2922836657
id_52,40.5787399788
id_53,23.3883321309
id_54,36.6621516986
id_55,39.8440431177
id_56,23.6875619882
id_57,21.1436727471
id_58,35.0424509108
id_59,32.78892605
id_60,11.9180410487
id_61,24.413770162
id_62,31.2654518018
id_63,54.6574041609
id_64,49.405389388
id_65,25.750437286
id_66,39.3805156162
id_67,52.2229241274
id_68,26.4267261701
id_69,36.7414581764
id_70,65.1940161069
id_71,54.0562229939
id_72,42.663956328
id_73,14.6978410976
id_74,11.0767955222
id_75,36.6746111004
id_76,64.9411578216
id_77,4.28471286295
id_78,40.0240216757
id_79,38.8484787467
id_80,10.4020388221
id_81,19.7579811252
id_82,8.20845837842
id_83,32.5345029604
id_84,8.17470348893
id_85,9.88880163282
id_86,15.5485001055
id_87,12.5949378565
id_88,17.8259761536
id_89,24.9586142434
id_90,34.7235256664
id_91,10.5368049503
id_92,14.361657771
id_93,10.8076199504
id_94,36.9311291725
id_95,18.8924831774
id_96,14.7493005699
id_97,7.01883305352
id_98,10.6859377054
id_99,9.49761013087
id_100,10.9032343799
id_101,20.0528650373
id_102,11.0275940612
id_103,9.64536083687
id_104,14.4241071692
id_105,35.0228372426
id_106,24.0004997558
id_107,10.1171801292
id_108,16.7994132423
id_109,17.2020040519
id_110,12.696053242
id_111,12.5922374965
id_112,16.2702683941
id_113,23.9171516002
id_114,20.477429343
id_115,16.6307110484
id_116,9.71199711726
id_117,41.7546572527
id_118,24.8367485172
id_119,4.87128576763
id_120,-0.482341988257
id_121,8.38690621019
id_122,12.4520472338
id_123,11.0693166913
id_124,6.98316339938
id_125,24.8131438697
id_126,22.8276441786
id_127,10.2701492797
id_128,18.3045524739
id_129,13.360028585
id_130,1.42609847033
id_131,33.550633283
id_132,16.823451944
id_133,20.0099378004
id_134,26.1653962545
id_135,24.4589673464
id_136,12.0385813279
id_137,23.9591465717
id_138,86.5316267445
id_139,61.8328697201
id_140,29.9381599931
id_141,16.8415967217
id_142,23.3385390348
id_143,8.35303792897
id_144,13.4523900589
id_145,11.3025223296
id_146,16.9383533469
id_147,8.34046782691
id_148,13.6337712649
id_149,16.3686082473
id_150,45.0246493613
id_151,18.4581359376
id_152,22.5493549922
id_153,12.8167326413
id_154,17.8321327861
id_155,25.1980136891
id_156,20.584111698
id_157,36.2593700042
id_158,6.90568511399
id_159,19.1097376584
id_160,44.5529351192
id_161,18.7132606708
id_162,64.2381022536
id_163,16.9310054678
id_164,34.7282923136
id_165,24.4045500822
id_166,19.9517101659
id_167,1.82971790427
id_168,71.7404268097
id_169,19.0991080135
id_170,16.6696686637
id_171,78.4661930106
id_172,18.4867169779
id_173,4.66749532104
id_174,25.4398338178
id_175,2.76480477408
id_176,10.5143985416
id_177,20.9858816008
id_178,21.2468223249
id_179,22.6524873928
id_180,43.801715954
id_181,32.2177452322
id_182,29.9715015083
id_183,15.1191290341
id_184,5.23591454285
id_185,40.3249611583
id_186,35.4051671026
id_187,33.4305256186
id_188,15.9776858184
id_189,23.5438778843
id_190,14.5406948556
id_191,15.1612228011
id_192,31.0233178031
id_193,76.0610600411
id_194,29.6755491033
id_195,11.9540131927
id_196,63.9205824614
id_197,18.0671264812
id_198,19.0674088535
id_199,21.9213919426
id_200,169.386614624
id_201,22.7735594805
id_202,60.0826537741
id_203,9.85240894366
id_204,60.0232212111
id_205,32.4920400059
id_206,11.5031836329
id_207,15.7158038138
id_208,66.0923978472
id_209,17.4432659203
id_210,31.886155352
id_211,71.7322173956
id_212,21.0266545636
id_213,92.6228067239
id_214,39.5577378854
id_215,72.9475191487
id_216,110.025861383
id_217,79.1764087769
id_218,30.071889426
id_219,19.6495754558
id_220,31.9521311601
id_221,52.9460649025
id_222,25.5716298774
id_223,38.8694628054
id_224,42.0983749764
id_225,6.81584265314
id_226,5.57640538436
id_227,78.29453104
id_228,26.7842014227
id_229,1.36359838061
id_230,39.5127736343
id_231,12.6964680415
id_232,19.720809897
id_233,5.02866103805
id_234,15.8076877661
id_235,21.0777990602
id_236,13.7647982453
id_237,1.31197787754
id_238,22.5764053823
id_239,6.63784263961
